L,Date MO/DAY/YR,To,From,Sent To ,Sent From,Status,Notes,Spanish YES/NO,SCAN ID,Scans uploaded,Back up? Where?,Metadata collected,Metadata filename,Metadata uploaded,Metadata Revised,Total: ,letter ,Envelope,Env. and Letter,Jesusita
108,9/17/1962,"Querida Hija ""Santos",Jesusita B Torres,N/A,Fort Lupton CO,Transcribed & translated, letter,YES,"shan_l.394
to
shan_l.399",Box,,Yes,shan_L108.meta.xml,Google Drive,Yes,,,,,
109,1/7/1963,"Querida Hija ""Santos",J.B.T,N/A,Fort Lupton CO,Transcribed & translated, letter,YES,"shan_l.400
to
shan_l.405",Box,,Yes,shan_L109.meta.xml,Google Drive,Yes,,,,,
110,1/28/1963,Mrs. W.F Schubert,Jesusita B torres,Lincoln NE,Fort Lupton CO,Transcribed & translated,Env. and Letter,YES,"shan_l.406
to
shan_l.411",Box,,Yes,shan_L110.meta.xml,Google Drive,Yes,,,,,
111,6/24/1963,[Mrs.] W.F Schubert,Jesusita B Torres,Lincoln NE,Fort Lupton CO,Transcribed & translated,Env. and Letter,YES,"shan_l.412
to
shan_l.417",Box,,Yes,shan_L111.meta.xml,Google Drive,Yes,,,,,
112,N/A,N/A,N/A,N/A,N/A,Transcribed & translated,"Hadwritten in black ink, Jesusita's handwriting: ""2.page. para el Estado de Texas con una famílía que se fue para aya"" List of names and amounts written in English, different handwritting & different ink on the back. ",YES,"shan_l.418
to
shan_l.419",Box,,No,shan_L112.meta.xml,Google Drive,,,,,,
113,1/2/1964,[Mrs.] W.F Schubert,Jesusita B Torres,Lincoln NE,Fort Lupton CO,Transcribed & translated,Env. and Letter,YES,"shan_l.420
to
shan_l.425",Box,,Yes,shan_L113.meta.xml,Google Drive,Yes,,,,,
114,1/1/1964,"Querida Hija ""Santos",Jesusita B Torres,N/A,Fort Lupton CO,Transcribed & translated,Letter,YES,"shan_l.426
to
shan_l.427",Box,,No,,,,,,,,
115,6/1/1965,Mrs. W.F Schubert,Pam ,Lincoln NE,Fort Lupton CO,Transcribed & translated,Envelope and letter,NO,"shan_l.432
to
shan_l.435",Box,,Yes,shan_L115.meta.xml,Google Drive,Yes,,,,,
116,6/1/1965,"Querida Hija ""Santos",Max y Jesusita,N/A,Fort Lupton CO,Transcribed & translated,letter,YES,"shan_l.436
to
shan_l.437",Box,,Yes,shan_L116.meta.xml,Google Drive,Yes,,,,,
117,7/21/1967,Mrs. Schubert,Jesusita Torres,Lincoln NE,Fort Lupton CO,Transcribed & translated,Env. and Letter,YES,"shan_l.438
to
shan_l.443",Box,,Yes,shan_L117.meta.xml,Google Drive,Yes,,,,,
118,11/13/1967,Mrs. Santos Schubert,Jesusita Torres,Lincoln NE,Fort Lupton CO,Transcribed & translated,Env. and Letter,YES,"shan_l.444
to
shan_l.447",Box,,Yes,shan_L118.meta.xml,Google Drive,Yes,,,,,
119,12/14/1967,"Querida Hija ""Santos",Jesusita Torres,N/A,Fort Lupton CO,Transcribed & translated,letter,YES,"shan_l.448
to
shan_l.449",Box,,Yes,shan_L119.meta.xml,Google Drive,Yes,,,,,
120,9/11/1970,Mrs. Schubert,Jesusita Torrres,Lincoln NE,Fort Lupton CO,Transcribed & translated,Env. and Letter,YES,"shan_l.450
to
shan_l.453",Box,,Yes,shan_L120.meta.xml,Google Drive,Yes,,,,,
121,9/8/1974,N/A,Sandra/Bill,N/A,N/A,Transcribed & translated,Env. and Letter,YES,"shan_l.454
to
shan_l.455",Box,,No,,,,,,,,
122,5/26/1986,N/A,N/A,N/A,N/A,Transcribed & translated,Env. and Letter,NO,"shan_l.456
to
shan_l.457",Box,,Yes,shan_L122.meta.xml,Google Drive,Yes,,,,,
123,N/A,Mr. Mrs Schubert,N/A,Lincoln NE,N/A,"Transcribed, edited & ready.
",Envelope,NO,"shan_l.458
to
shan_l.459",Box,,Yes,shan_L123.meta.xml,Google Drive,Yes,,,,,
124,3/17/1942,Mrs. & Ms. John J Schubert & Family,William F Schubert,Palmyra NE,Lincoln NE ,Transcribed & translated,Env. and Letter,NO,"shan_l.460
to
shan_l.465",Box,,Yes,shan_L124.meta.xml,Google Drive,,,,,,
125,12/7/1964,"""Querida hija""
Santos B. Schubert",Jesusita B. Torres,N/A,"Fort Lupton, CO",Transcribed & translated,"Original L125 was a duplicate of L20 and was therefore deleted.
L114 contained two separate letters, therefore the second letter was separated and turned into the new L125.
Letter",Yes,"shan_l.428
to
shan_l.431",Box,,,,,,,,,,
126,9/18/19??,Jesusita Baros,Julia Flemate,Fort Lupton CO,Guadalajara JAL,"Transcribed, edited & ready.
",Envelope ,YES,"shan_l.468
to
shan_l.469",Box,,Yes,shan_L126.meta.xml,Google Drive,Yes,,,,,
127,3/16/1977,Mrs. & Mr. Bill Schubert,Helen & Jess & Mark,Lincoln NE,Fort Lupton CO,Transcribed & translated,Env. and Letter,NO,"shan_l.470
to
shan_l.473",Box,,Yes,shan_L127.meta.xml,Google Drive,,,,,,
128,9/24/1974,Mr. & Mrs. Bill Schubert,Jess Baros,Lincoln NE,Fort Lupton CO,Transcribed & translated,Env. and Letter,NO,"shan_l.474
to
shan_l.481",Box,,Yes,shan_L128.meta.xml,Google Drive,Yes,,,,,
129,12/17/1976,Mrs. Santos Schubert,Mrs. AB Sanchez,Lincoln NE,Tucson AZ,Transcribed & translated,Env. and Letter,YES,"shan_l.482
to
shan_l.485",Box,,Yes,shan_L129.meta.xml,Google Drive,Yes,,,,,
130,12/10/1947,Mrs. Santos B Schubert,W.F. Schubert,Fort Lupton CO,Havelock NE,Transcribed & translated,Env. and Letter,NO,"shan_l.486
to
shan_l.491",Box,,Yes,shan_L130.meta.xml,Google Drive,Yes,,,,,
131,12/18/1947,Mrs. Santos B Shubert,W.F Schubert,Fort Lupton CO,Havelock NE,Transcribed & translated,Env. and Letter,NO,"shan_l.492
to
shan_l.497",Box,,Yes,shan_L131.meta.xml,Google Drive,Yes,,,,,
132,5/9/1948,Mrs. Santos B Shubert,Bill,Fort Lupton CO,Bergstrom Airforce Base/Austin TX,Transcribed & translated,Env. and Letter,YES,"shan_l.498
to
shan_l.503",Box,,Yes,shan_L132.meta.xml,Google Drive,Yes,,,,,
133,5/11/1948,Mrs. Santos B Schubert,Sgt. Wm. F. Schubert,Fort Lupton CO,Bergstrom Airforce Base/Austin TX,Transcribed & translated,Env. and Letter,YES,"shan_l.504
to
shan_l.505",Box,,Yes,shan_L133.meta.xml,Google Drive,Yes,,,,,
134,5/27/1949,Mrs. Sandra B Schubert,Bill,Fort Lupton CO,Havelock NE,Transcribed & translated,Env. and Letter,YES,"shan_l.506
to
shan_l.511",Box,,Yes,shan_L134.meta.xml,Google Drive,Yes,,,,,
135,9/25/1950,Mrs. Sandra B Schubert,WF Schubert,Fort Lupton CO,"Adams, NE",Transcribed & translated,Env. and Letter,NO,"shan_l.512
to
shan_l.515",Box,,Yes,shan_L135.meta.xml,Google Drive,Yes,,,,,
136,9/23/1950,Sandra & Billy,Bill,N/A,"Adams, NE",Transcribed & translated,letter,NO,"shan_l.516
to
shan_l.517",Box,,Yes,shan_L136.meta.xml,Google Drive,Yes,,,,,
137,9/27/1950,Santos & Billy,Bill,N/A,Camp 67/Adams NE,Transcribed & translated,letter,NO,"shan_l.518
to
shan_l.519",Box,,Yes,shan_L137.meta.xml,Google Drive,Yes,,,,,
138,10/1/1950,Santos & Billy,Bill,N/A,N/A,Transcribed & translated,letter,NO,"shan_l.520
to
shan_l.521",Box,,Yes,shan_L138.meta.xml,Google Drive,Yes,,,,,
139,10/12/1950,"""My darling wife"" (Santos)",Bill,N/A,Camp 67/Adams NE,Transcribed & translated,letter,No,"shan_l.522
to
shan_l.523",Box,,Yes,shan_L139.meta.xml,Google Drive,Yes,,,,,
140,10/13/1950,Sandra & Billy,Bill,N/A,Camp 67/Adams NE,Transcribed & translated,letter,No,"shan_l.524
to
shan_l.525",Box,,Yes,shan_L140.meta.xml,Google Drive,Yes,,,,,
141,10/14/1950,Santos & Billy,Bill,N/A,Camp 67/Adams NE,Transcribed & translated,letter,NO,"shan_l.526
to
shan_l.527",Box,,Yes,shan_L141.meta.xml,Google Drive,Yes,,,,,
142,10/16/1950,"""My darling wife and Billy"" (Santos)",Bill,N/A,Camp 67/Adams NE,Transcribed & translated,letter,NO,"shan_l.528
to
shan_l.531",Box,,Yes,shan_L142.meta.xml,Google Drive,Yes,,,,,
143,10/17/1950,"""My darling wife and son"" (Santos)",Bill,N/A,Camp 67/Adams NE,Transcribed & translated,letter,NO,"shan_l.532
to
shan_l.533",Box,,Yes,shan_L143.meta.xml,Google Drive,Yes,,,,,
144,10/18/1950,"""My darling wife and son"" (Santos)",Bill,N/A,Camp 67/Adams NE,Transcribed & translated,letter,NO,"shan_l.534
to
shan_l.535",Box,,Yes,shan_L144.meta.xml,Google Drive,Yes,,,,,
145,10/19/1950,"""My darling wife and son"" (Santos)",Bill,N/A,Camp 67/Adams NE,Transcribed & translated,"letter  ""Will write a few lines yet today as...""",NO,"shan_l.536
to
shan_l.537",Box,,Yes,shan_L145.meta.xml,Google Drive,Yes,,,,,
146,10/19/1950,"""My darling wife and son"" (Santos)",Bill,N/A,Camp 67/Adams NE,Transcribed & translated,"letter  ""Received your nice letter of the 18th...""",NO,"shan_l.538
to
shan_l.539",Box,,Yes,shan_L146.meta.xml,Google Drive,Yes,,,,,
147,11/19/1952,Mrs. William Schubert,Mrs. Anderson,Lincoln NE,Lincoln NE,"Transcribed, edited & ready.
",Envelope This plastic sleeve contained this envelope AND one b/w photo and a cupon for portrait from Baby Tots Studio dated 12/10/1953 PHOTO ID PENDING/Receipt id is [D55],NO,"shan_l.540
to
shan_l.541",Box,,Yes,shan_L147.meta.xml,Google Drive,Yes,,,,,
148,8/25/1954,"Sandra, Billy, Bobby & Pamela",Bill,N/A,La Grange IL,Transcribed & translated,letter,NO,"shan_l.542
to
shan_l.543",Box,,Yes,shan_L148.meta.xml,Google Drive,Yes,,,,,
149,8/14/1962,Sandra & youngsters,Bill,N/A,Lincoln NE,Transcribed & translated,letter,NO,"shan_l.544
to
shan_l.545",Box,,Yes,shan_L149.meta.xml,Google Drive,Yes,,,,,
150,8/16/1962,Sandra & children,Bill,N/A,Lincoln NE,Transcribed & translated,letter,NO,"shan_l.546
to
shan_l.547",Box,,Yes,shan_L150.meta.xml,Google Drive,Yes,,,,,
151,8/19/1962,Mrs. WF Schubert,WF Schubert,Fort Lupton CO,Lincoln NE,Transcribed & translated,Env. and Letter,NO,"shan_l.548
to
shan_l.551",Box,,Yes,shan_L151.meta.xml,Google Drive,Yes,,,,,
152,8/22/1962,Sandra & youngsters,Bill,N/A,Lincoln NE,Transcribed & translated,letter,NO,"shan_l.552
to
shan_l.553",Box,,Yes,shan_L152.meta.xml,Google Drive,Yes,,,,,
153,10/18/1939,Mrs. Jesusita Baros,Lucía V? (Faustín Villanueva?),Longmont CO,Albuquerque NM,Transcribed & translated,Env. and Letter,YES,"shan_l.554
to
shan_l.559",Box,,Yes,shan_L153.meta.xml,Google Drive,Yes,,,,,
154,7/18/1971,"""Querida hija"" (Santos)",Jesusita Torres,N/A,N/A,Transcribed & translated,letter,YES,"shan_l.560
to
shan_l.561",Box,,Yes,shan_L154.meta.xml,Google Drive,Yes,,,,,
155,1/2/1976,Sandra & Billy,Jess & Helen & Mark,N/A,Fort Lupton CO,Transcribed & translated,letter,NO,"shan_l.562
to
shan_l.567",Box,,Yes,shan_L155.meta.xml,Google Drive,Yes,,,,,
156,10/29/1956,"""Querida hija"" (Santos)",Jesusita Baros Torres,N/A,Fort Lupton CO,Transcribed & translated,letter,YES,"shan_l.568
to
shan_l.571",Box,,Yes,shan_L156.meta.xml,Google Drive,Yes,,,,,
157,8/16/1982,Mr. & Mrs. Bill Schubert,Mrs. F.N. Baca,Lincoln NE,Albuquerque NM,Transcribed & translated,Env. and Letter,NO,"shan_l.572
to
shan_l.577",Box,,No,,,,,,,,
158,10/14/1966,Mrs. Sandra Schubert,Jesusita Torres,Lincoln NE,Fort Lupton CO,Transcribed & translated,Env. and Letter,YES,"shan_l.578
to
shan_l.583",Box,,Yes,shan_L158.meta.xml,Google Drive,Yes,,,,,
159,11/7/1966,"""Mi querida hija"" (Santos)",Jesusita Torres,N/A,Fort Lupton CO,Transcribed & translated,letter,YES,"shan_l.584
to
shan_l.587",Box,,Yes,shan_L159.meta.xml,Google Drive,Yes,,,,,
160,12/29/1974,Santos Schubert,"""Tu amiga"" ",Lincoln NE,Tucson AZ,Transcribed & translated,"Env. and Letter ""Saludes de Pancha"" (woman's handwriting?)",YES,"shan_l.588
to
shan_l.591",Box,,Yes,shan_L160.meta.xml,Google Drive,Yes,,,,,
161,10/9/1950,Mr. WF Schubert,Mrs. Sandra Schubert,Rulo NE,Fort Lupton CO,Transcribed & translated,Env. and Letter,NO ,"shan_l.592
to
shan_l.596",Box,,Yes,shan_L161.meta.xml,Google Drive,Yes,,,,,
162,2/11/1978,Mrs. Santos B Schubert & Jane,Bill Schubert,Lincoln NE,Fort Lupton CO,Transcribed & translated,letter,NO,"shan_l.597
to
shan_l.602",Box,,No,,,,,,,,
163,10/4/1950,Mr. William F Schubert,Sandra Schubert,Camp 67/Rulo NE,Fort Lupton CO,Transcribed & translated,Env. and Letter,NO,"shan_l.603
to
shan_l.607",Box,,No,,,,,,,,
164,1/10/1953,Mrs. Santos B Schubert,WF Schubert,Lincoln NE,"Berwyn, IL",Transcribed & translated,Env. and Letter,NO,"shan_l.608
to
shan_l.611",Box,,No,,,,,,,,
165,1/8/1953,Mrs. Santos B Schubert,WF Schubert,Lincoln NE,"Berwyn, IL",Transcribed & translated,Env. and Letter,NO,"shan_l.612
to
shan_l.615",Box,,No,,,,,,,,
166,12/12/1950,W.F Schubert,Mrs. WF Schubert,Falls City NE,Lincoln NE,Transcribed & translated,Env. and Letter,NO,"shan_l.616
to
shan_l.619",Box,,No,,,,,,,,
167,12/12/1950,Bill,Sandra,N/A,N/A,Transcribed & translated,letter,NO,"shan_l.620
to
shan_l.622",Box,,No,,,,,,,,
168,11/30/1948,Sr. Maximino Torres,Clemente Torres,Fort Lupton CO,Churintzio/Huapamacato MICH,Transcribed & translated,Env. and Letter Note that [L168] and [L169] were written in same piece of paper and sent in one envelope ,YES,shan_l.623 to shan_l.624,Box,,Yes,shan_L168.meta.xml,Google Drive,Yes,,,,,
168,11/30/1948,Sr. Maximino Torres,Clemente Torres,Fort Lupton CO,Churintzio/Huapamacato MICH,Transcribed & translated,Env. and Letter Note that [L168] and [L169] were written in same piece of paper and sent in one envelope ,YES,"
shan_l.626",Box,,Yes,shan_L168.meta.xml,Google Drive,Yes,,,,,
169,N/A,Sra Jesusita Baros,Sra. Victoria A. de Torres,Fort Lupton CO,Churintzio/Huapamacato MICH,Transcribed & translated,Env. and Letter Note that [L168] and [L169] were written in same piece of paper and sent in one envelope ,YES,shan_l.625,Box,,Yes,shan_L169.meta.xml,Google Drive,Yes,,,,,
170,1/22/1952,Sr Maximino Torres,Victoria Aviña,Fort Lupton CO,Churintzio MICH,Transcribed & translated,Envelope,NO,"shan_l.627
to
shan_l.628",Box,,Yes,shan_L170.meta.xml,Google Drive,Yes,,,,,
171,1/2?/1953,Sra. Jesusita Baros ,Mauro Quesada,Fort Lupton CO,Juchipila ZAC,"Transcribed, edited & ready.
",Envelope,YES,"shan_l.629
to
shan_l.630",Box,,Yes,shan_L171.meta.xml,Google Drive,Yes,,,,,
172,2/9/1944,Miss Santos Baros,Jess Baros,Denver CO,Oceanside CA,"Transcribed, edited & ready.
",Envelope,YES,"shan_l.631
to
shan_l.632",Box,,Yes,shan_L172.meta.xml,Google Drive,Yes,,,,,
173,2/23/1939,Mrs. Jesusita Baros,Jesús Samaniego,Longmont CO,Juchipila ZAC,"Transcribed, edited & ready.
",Envelope,YES,"shan_l.633
to
shan_l.634",Box,,Yes,shan_L173.meta.xml,Google Drive,Yes,,,,,
174,6/27/1957,Sra. Jesusita Baros,Patricia Medrano,Fort Lupton CO,Juchipila ZAC,"Transcribed, edited & ready.
",Envelope,NO,"shan_l.635
to
shan_l.636",Box,,Yes,shan_L174.meta.xml,Google Drive,Yes,,,,,
175,8/29/1938?,Mrs. Jesusita Baros,Jesús Samaniego,Longmont CO,Juchipila ZAC,"Transcribed, edited & ready.
",Envelope,YES,"shan_l.637
to
shan_l.638",Box,,Yes,shan_L175.meta.xml,Google Drive,Yes,,,,,
176,8/5?/19??,Sra. Jesús Baros,Nemecio Samaniego,Fort Lupton CO,Juchipila ZAC,"Transcribed, edited & ready.
",Envelope,YES,"shan_l.639
to
shan_l.640",Box,,Yes,shan_L176.meta.xml,Google Drive,Yes,,,,,
177,2/27/1957,Sra. Jesusita Baros,Nemecio Samaniego,Fort Lupton CO,Juchipila ZAC,"Transcribed, edited & ready.
",Envelope,YES,"shan_l.641
to
shan_l.642",Box,,Yes,shan_L177.meta.xml,Google Drive,Yes,,,,,
178,1/11/196?,Sra. Jesusita B Torres,Nemecio Samaniego,Fort Lupton CO,Juchipila ZAC,"Transcribed, edited & ready.
",Envelope,YES,"shan_l.643
to
shan_l.644",Box,,Yes,shan_L178.meta.xml,Google Drive,Yes,,,,,
179,1/4/1938,Sra. Jesusita Baros,N/A,Denver CO,N/A,"Transcribed, edited & ready.
",Envelope,NO,"shan_l.645
to
shan_l.646",Box,,Yes,shan_L179.meta.xml,Google Drive,Yes,,,,,
180,1/11/1956?,Sra. Jesusita Baros,Demetrio Flemate,Fort Lupton CO,Juchipila ZAC,"Transcribed, edited & ready.
",Envelope,YES,"shan_l.647
to
shan_l.648",Box,,Yes,shan_L180.meta.xml,Google Drive,Yes,,,,,
181,2/7/01956?,Mrs. Jesusita Baros,Patricia Medrano,Fort Lupton CO,Juchipila ZAC,"Transcribed, edited & ready.
",Envelope,NO,"shan_l.649
to
shan_l.650",Box,,Yes,shan_L181.meta.xml,Google Drive,Yes,,,,,
182,12/17/195?,Sra. Jesusita Baros Torres,Guadalupe Flemate,Fort Lupton CO,Juchipila ZAC,"Transcribed, edited & ready.
",Envelope,YES,"shan_l.651
to
shan_l.652",Box,,Yes,shan_L182.meta.xml,Google Drive,Yes,,,,,
183,7/15/1955,Sra. Ma. de Jesús Baros Torres,Demetrio Flemate,Fort Lupton CO,Juchipila ZAC,"Transcribed, edited & ready.
",Envelope,YES,"shan_l.653
to
shan_l.654",Box,,Yes,shan_L183.meta.xml,Google Drive,Yes,,,,,
184,10/19/1959,Jesusita B Torres,Nemecio Samaniego,Fort Lupton CO,Juchipila ZAC,"Transcribed, edited & ready.
",Envelope,YES,"shan_l.655
to
shan_l.656",Box,,Yes,shan_L184.meta.xml,Google Drive,Yes,,,,,
185,??/29/1959,Jesusita BT,Nemecio Samaniego,Fort Lupton CO,Juchipila ZAC,"Transcribed, edited & ready.
",Envelope,YES,"shan_l.657
to
shan_l.658",Box,,Yes,shan_L185.meta.xml,Google Drive,Yes,,,,,
186,10/15/1959,Jesusita B Torres,Nemecio Samaniego,Fort Lupton CO,Juchipila ZAC,"Transcribed, edited & ready.
",Envelope,YES,"shan_l.659
to
shan_l.660",Box,,Yes,shan_L186.meta.xml,Google Drive,Yes,,,,,
187,10/13/1942,Miss Santos Baros,José Lara M.,Fort Lupton CO,Juchipila ZAC,"Transcribed, edited & ready.
",Envelope,NO,"shan_l.661
to
shan_l.662",Box,,Yes,shan_L187.meta.xml,Google Drive,Yes,,,,,
188,6/16/1952,Ms. Jesusita Baros,Demetrio Flemate,Fort Lupton CO,Juchipila ZAC,"Transcribed, edited & ready.
",Envelope,NO,"shan_l.663
to
shan_l.664",Box,,Yes,shan_L188.meta.xml,Google Drive,Yes,,,,,
189,10/20/1975,Sra. Jesusita Baros,Nemecio Samaniego,Fort Lupton CO,Juchipila ZAC,"Transcribed, edited & ready.
",Envelope,NO,"shan_l.665
to
shan_l.666",Box,,Yes,shan_L189.meta.xml,Google Drive,Yes,,,,,
190,2/3/1939,Mrs. Jesusita Baros ,Demetrio Flemate,Longmont CO,Juchipila ZAC,"Transcribed, edited & ready.
",Envelope,NO,"shan_l.667
to
shan_l.668",Box,,Yes,shan_L190.meta.xml,Google Drive,Yes,,,,,
191,7/1/1970,Sr. Maximino Torres,Roberto Gonzales,"Fort Lupton, CO","Villings, Montana","Transcribed, edited & ready.
",Envelope,NO,"shan_l.669
to
shan_l.670",Box,,Yes,shan_L191.meta.xml,Google Drive,Yes,,,,,
192,11/5/1951,Sr. Maxsimino Torres,Clemente Torres,"Fort Lupton, CO","Del Rey, California","Transcribed, edited & ready.
",Envelope,NO,"shan_l.671
to
shan_l.672",Box,,Yes,shan_L192.meta.xml,Google Drive,Yes,,,,,
193,4/5/1943,Mr. Maxcimino Torres,Clemente Torres,"Denver, CO",Churintzio Guapamacato Michocan Mexico ,"Transcribed, edited & ready.
",Envelope,NO,"shan_l.673
to
shan_l.674",Box,,Yes,shan_L193.meta.xml,Google Drive,Yes,,,,,
194,8/14/1962,Mr. and Mrs. Bill Schubert,Mrs. F. N. Baca,"Lincoln, NE",Albuquerque NM,Transcribed & translated,Env. and Letter,NO,"shan_l.675
to
shan_l.680",Box,,Yes,shan_L194.meta.xml,Google Drive,Yes,,,,,
195,N/A,N/A,JBT ???,N/A,N/A,Transcribed & translated,"back of envelope ""Estas son las targetas de la agua""",YES,"shan_l.768 to 
shan_l.769",Box,,No,,,,,,,,
196,3/11/1958,Santos B Schubert,Jesusita Baros Torres,"Lincoln, NE","Fort Lupton, CO",Transcribed & translated,Letter. Three pages handwritten in Spanish.,YES,shan_l.686 to shan_l.690 ,Box,,Yes,shan_L196.meta.xml,Google Drive,Yes,,,,,
197,4/30/1958,Santos B Schubert,Jesusita Baros Torres,"Lincoln, NE","Fort Lupton, CO",Transcribed & translated,Env. and Letter. Three pages handwritten in Spanish.,YES,shan_l.691 to shan_l.695 ,Box,,Yes,shan_L197.meta.xml,Google Drive,Yes,,,,,
198,4/8/1961,Santos B Schubert,Jesusita Baros Torres,"Lincoln, NE","Fort Lupton, CO",Transcribed & translated,Env. and Letter. Three pages handwritten in Spanish.,YES,shan_l.696 to shan_l.700 ,Box,,Yes,shan_L198.meta.xml,Google Drive,Yes,,,,,
199,12/7/1961,Santos B Schubert,Jesusita Baros Torres,"Lincoln, NE","Fort Lupton, CO",Transcribed & translated,Env. and Letter. Two pages handwritten in Spanish.,YES,"shan_l.747 to 
shan_l.750",Box,,Yes,shan_L199.meta.xml,Google Drive,Yes,,,,,
200,1/6/1958,Santos B Schubert,Jesusita Baros Torres,"Lincoln, NE","Fort Lupton, CO",Transcribed & translated,Env. and Letter. Three pages handwritten in Spanish.,YES,"shan_l.751 to 
shan_l.755",Box,,Yes,shan_L200.meta.xml,Google Drive,Yes,,,,,
201,10/24/1961,Santos B Schubert,Jesusita Baros Torres,"Lincoln, NE","Fort Lupton, CO",Transcribed & translated,Letter. Two handwritten pages in Spanish. ,YES,"shan_l.701 to 
shan_l.704",Box,,Yes,shan_L201.meta.xml,Google Drive,Yes,,,,,
202,2/12/1963,Mrs. W.F. Schubert,Jesusita Baros Torres ,"Lincoln, Ne","Fort Lupton, CO",Transcribed & translated,Letter and Envelope. Two hand written pages with prayer card ([D127]) attached,YES ,"shan_l.705 to 
shan_l.708",Box,,Yes,shan_L202.meta.xml,Google Drive,Yes,,,,,
203,3/13/1966,Srta. Pamela Schubert ,Jesusita Baros Torres ,"Lincoln, NE ","Fort Lupton, CO",Transcribed & translated,"This envelope, addressed to Santos, includes a a birthday card to Jane Schubert [D126], a three-page hadwritten letter to Pamela Schubert [L203], and a one-page handwritten letter to Santos Schubert [L215]",YES ,"shan_l.718 to 
shan_l.720",Box,,Yes,shan_L203.meta.xml,Google Drive,Yes,,,,,
204,11/20/1964,Mrs. W. F. Schubert, Jesusita Baros Torres ,"Lincoln, NE ","Fort Lupton, CO ",Transcribed & translated,Two hand-written pages with envelope ,YES ,"shan_l.709 to
shan_l.712",Box,,Yes,shan_L204.meta.xml,Google Drive,Yes,,,,,
205,12/20/1968,Querida Hija (Santos),Jesusita Barros Torres ,"Lincon, NE"," Fort Lupton, CO ",Transcribed & translated,One hand-written page ,YES ,Only PDF ,PDF in Box and GDrive,,Yes,shan_L205.meta.xml,Google Drive,Yes,,,,,
206,1/3/1965,estimados hijos (Santos and family),Jesusita Barros Torres ,"Lincoln, NE ","Fort Lupton, CO ",Transcribed & translated,Two hand-written pages  ,YES ,"shan_l.713 to 
shan_l.714",Box,,Yes,shan_L206.meta.xml,Google Drive,Yes,,,,,
207,5/13/1969,Querida Hija (Santos),Jesusita Barros Torres ,"Lincoln, NE ","Fort Lupton, CO ",Transcribed & translated,Two hand-written pages ,YES ,"shan_l.738 to 
shan_l.739",Box,,Yes,shan_L207.meta.xml,Google Drive,Yes,,,,,
208,3/3/1965,Mrs. W.F. Schubert,Jesusita Barros Torres ,"Lincoln, NE ","Fort Lupton, CO ",Transcribed & translated,"Two hand-written pages with envelope and $40.00 cash enclosed. SEE: ""el mas fino recuerdo de nosotros, Max, and mí tu mamá"" = ""and me, tu mamá""",YES ,"shan_l.756 to 
shan_l.759",Box,,Yes,shan_L208.meta.xml,Google Drive,Yes,,,,,
209,11/1/1966,Santos B Schubert,Jesusita Barros Torres ,"Lincoln, NE ","Fort Lupton, CO ",Transcribed & translated,,YES,"shan_l.721 to 
shan_l.723",Box,,Yes,shan_L209.meta.xml,Google Drive,Yes,,,,,
210,9/15/1968,Santos B Schubert,Jesusita Barros Torres ,"Lincoln, NE ","Fort Lupton, CO ",Transcribed & translated,,YES,"shan_l.724 to 
shan_l.728",Box,,Yes,shan_L210.meta.xml,Google Drive,Yes,,,,,
211,11/6/1968,Santos B Schubert,Jesusita Barros Torres ,"Lincoln, NE ","Brighton, CO",Transcribed & translated,,YES,"shan_l.729 to
shan_l.732",Box,,Yes,shan_L211.meta.xml,Google Drive,Yes,,,,,
212,4/21/1969,Santos B Schubert,Jesusita Barros Torres ,"Lincoln, NE ","Fort Lupton, CO ",Transcribed & translated,"""Hasta el amedio día"".",YES,"shan_l.733 to 
shan_l.737",Box,,Yes,shan_L212.meta.xml,Google Drive,Yes,,,,,
213,12/11/1971,Santos B Schubert,Jesusita Barros Torres ,"Lincoln, NE ","Fort Lupton, CO ",Transcribed & translated,This letter includes a Christmas card to Santos [D129],YES,"shan_l.740 to 
shan_l.742",Box,,Yes,shan_L213.meta.xml,Google Drive,Yes,,,,,
214,12/30/1976,Santos B Schubert,Gloria Botello,"Lincoln, NE ","Fort Lupton, CO ",Transcribed & translated,,YES,"shan_l.743 to 
shan_l.746",Box,,Yes,shan_L214.meta.xml,Google Drive,Yes,,,,,
215,3/10/1966,Santos B Schubert,Jesusita Barros Torres ,"Lincoln, NE ","Fort Lupton, CO ",Transcribed & translated,"This one-page handwritten letter to Santos Schubert was inside an envelope addressed to Santos that includes a birthday card to Jane Schubert [D126], and a three-page hadwritten letter to Pamela Schubert [L203], and a one-page handwritten letter to Santos Schubert [L215].",,,,,Yes,shan_L215.meta.xml,Google Drive,Yes,,,,,
216,1/12/1962,Mrs. W. F. Schubert,Jesusita B. Torres,"Lincoln, NE","Fort Lupton, CO",Transcribed & translated,Env. and Letter,YES,"shan_l.770 
to shan_l.774",Box,,No,,,,,,,,
217,10/29/1962,Mrs. W. F. Schubert,Jesusita B. Torres,"Lincoln, NE","Fort Lupton, CO",Transcribed & translated,Env. and Letter,YES,"shan_l.775 
to shan_l.779",Box,,No,,,,,,,,
218,7/25/1966,[Querida hija],Jesusita Torres,"Lincoln, NE","Fort Lupton, CO",Transcribed & translated,Letter,YES,"shan_l.780 
to shan_l.781",Box,,No,,,,,,,,
